"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksbawq   ","P",07/28/2021 9:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,97.9,<0> ,8.3,<0> ,1.34,<0> ,1.32,<3> ,"",<-1> ,"","",8.3,<0> ,7,<0> ,19.6,<0> ,
"lksbawq   ","P",07/28/2021 9:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,95.6,<0> ,8.1,<0> ,1.41,<0> ,1.38,<3> ,"",<-1> ,"","",8.2,<0> ,8,<0> ,8.4,<0> ,
"lksbawq   ","P",07/28/2021 9:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,94.0,<0> ,8.0,<0> ,1.42,<0> ,1.40,<3> ,"",<-1> ,"","",8.2,<0> ,7,<0> ,14.3,<0> ,
"lksbawq   ","P",07/28/2021 10:00,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,100.4,<0> ,8.5,<0> ,1.40,<0> ,1.39,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,13.4,<0> ,
"lksbawq   ","P",07/28/2021 10:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,99.2,<0> ,8.4,<0> ,1.42,<0> ,1.41,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,15.8,<0> ,
"lksbawq   ","P",07/28/2021 10:30,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,100.0,<0> ,8.5,<0> ,1.43,<0> ,1.42,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,18.3,<0> ,
"lksbawq   ","P",07/28/2021 10:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,88.9,<0> ,7.6,<0> ,1.41,<0> ,1.40,<3> ,"",<-1> ,"","",8.1,<0> ,6,<0> ,10.0,<0> ,
"lksbawq   ","P",07/28/2021 11:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,96.5,<0> ,8.2,<0> ,1.44,<0> ,1.43,<3> ,"",<-1> ,"","",8.2,<0> ,6,<0> ,24.9,<0> ,
"lksbawq   ","P",07/28/2021 11:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,100.1,<0> ,8.5,<0> ,1.40,<0> ,1.39,<3> ,"",<-1> ,"","",8.3,<0> ,7,<0> ,13.3,<0> ,
"lksbawq   ","P",07/28/2021 11:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.9,<0> ,8.4,<0> ,1.45,<0> ,1.43,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,13.9,<0> ,
"lksbawq   ","P",07/28/2021 11:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,99.2,<0> ,8.5,<0> ,1.42,<0> ,1.41,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,15.4,<0> ,
"lksbawq   ","P",07/28/2021 12:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,97.0,<0> ,8.3,<0> ,1.42,<0> ,1.42,<3> ,"",<-1> ,"","",8.3,<0> ,10,<0> ,11.7,<0> ,
"lksbawq   ","P",07/28/2021 12:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.6,<0> ,8.4,<0> ,1.35,<0> ,1.35,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,20.0,<0> ,
"lksbawq   ","P",07/28/2021 12:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,98.0,<0> ,8.4,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,12.3,<0> ,
"lksbawq   ","P",07/28/2021 12:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.9,<0> ,8.4,<0> ,1.29,<0> ,1.29,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,14.6,<0> ,
"lksbawq   ","P",07/28/2021 13:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.3,<0> ,8.4,<0> ,1.33,<0> ,1.33,<3> ,"",<-1> ,"","",8.3,<0> ,7,<0> ,14.6,<0> ,
"lksbawq   ","P",07/28/2021 13:15,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,99.1,<0> ,8.5,<0> ,1.36,<0> ,1.36,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,15.5,<0> ,
"lksbawq   ","P",07/28/2021 13:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,98.9,<0> ,8.4,<0> ,1.42,<0> ,1.43,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,10.3,<0> ,
"lksbawq   ","P",07/28/2021 13:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,99.8,<0> ,8.5,<0> ,1.35,<0> ,1.36,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,17.1,<0> ,
"lksbawq   ","P",07/28/2021 14:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.5,<0> ,8.4,<0> ,1.42,<0> ,1.43,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,17.3,<0> ,
"lksbawq   ","P",07/28/2021 14:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,101.8,<0> ,8.7,<0> ,1.37,<0> ,1.38,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,17.9,<0> ,
"lksbawq   ","P",07/28/2021 14:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,96.6,<0> ,8.2,<0> ,1.39,<0> ,1.40,<3> ,"",<-1> ,"","",8.3,<0> ,6,<0> ,15.8,<0> ,
"lksbawq   ","P",07/28/2021 14:45,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,102.8,<0> ,8.7,<0> ,1.40,<0> ,1.41,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,19.1,<0> ,
"lksbawq   ","P",07/28/2021 15:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,101.9,<0> ,8.7,<0> ,1.39,<0> ,1.40,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,17.9,<0> ,
"lksbawq   ","P",07/28/2021 15:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.6,<0> ,8.7,<0> ,1.41,<0> ,1.41,<3> ,"",<-1> ,"","",8.3,<0> ,7,<0> ,14.7,<0> ,
"lksbawq   ","P",07/28/2021 15:30,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,103.2,<0> ,8.8,<0> ,1.38,<0> ,1.39,<3> ,"",<-1> ,"","",8.4,<0> ,8,<0> ,17.1,<0> ,
"lksbawq   ","P",07/28/2021 15:45,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,102.4,<0> ,8.7,<0> ,1.36,<0> ,1.37,<3> ,"",<-1> ,"","",8.4,<0> ,7,<0> ,15.5,<0> ,
"lksbawq   ","P",07/28/2021 16:00,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,104.7,<0> ,8.9,<0> ,1.34,<0> ,1.35,<3> ,"",<-1> ,"","",8.4,<0> ,10,<0> ,17.2,<0> ,
"lksbawq   ","P",07/28/2021 16:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.7,<0> ,8.7,<0> ,1.31,<0> ,1.32,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,16.9,<0> ,
"lksbawq   ","P",07/28/2021 16:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.9,<0> ,8.8,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.4,<0> ,7,<0> ,16.4,<0> ,
"lksbawq   ","P",07/28/2021 16:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.7,<0> ,8.7,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,35.7,<0> ,
"lksbawq   ","P",07/28/2021 17:00,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,104.3,<0> ,8.9,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.4,<0> ,10,<0> ,11.4,<0> ,
"lksbawq   ","P",07/28/2021 17:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.4,<0> ,8.7,<0> ,1.38,<0> ,1.38,<3> ,"",<-1> ,"","",8.4,<0> ,8,<0> ,19.3,<0> ,
"lksbawq   ","P",07/28/2021 17:30,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,102.0,<0> ,8.7,<0> ,1.44,<0> ,1.45,<3> ,"",<-1> ,"","",8.4,<0> ,7,<0> ,15.7,<0> ,
"lksbawq   ","P",07/28/2021 17:45,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,104.7,<0> ,8.9,<0> ,1.41,<0> ,1.42,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,15.6,<0> ,
"lksbawq   ","P",07/28/2021 18:00,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,102.4,<0> ,8.7,<0> ,1.36,<0> ,1.37,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,12.5,<0> ,
"lksbawq   ","P",07/28/2021 18:15,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,104.7,<0> ,8.9,<0> ,1.29,<0> ,1.30,<3> ,"",<-1> ,"","",8.4,<0> ,8,<0> ,15.1,<0> ,
"lksbawq   ","P",07/28/2021 18:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,104.2,<0> ,8.9,<0> ,1.36,<0> ,1.37,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,15.0,<0> ,
"lksbawq   ","P",07/28/2021 18:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.6,<0> ,8.7,<0> ,1.38,<0> ,1.40,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,17.4,<0> ,
"lksbawq   ","P",07/28/2021 19:00,0,1,"",23.5,<0> ,0.19,<0> ,0.1,<0> ,104.6,<0> ,8.9,<0> ,1.40,<0> ,1.42,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,24.4,<0> ,
"lksbawq   ","P",07/28/2021 19:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.7,<0> ,8.7,<0> ,1.30,<0> ,1.33,<3> ,"",<-1> ,"","",8.4,<0> ,10,<0> ,20.1,<0> ,
"lksbawq   ","P",07/28/2021 19:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.4,<0> ,8.7,<0> ,1.30,<0> ,1.33,<3> ,"",<-1> ,"","",8.4,<0> ,8,<0> ,23.8,<0> ,
"lksbawq   ","P",07/28/2021 19:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.0,<0> ,8.7,<0> ,1.27,<0> ,1.30,<3> ,"",<-1> ,"","",8.4,<0> ,9,<0> ,16.5,<0> ,
"lksbawq   ","P",07/28/2021 20:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.4,<0> ,8.7,<0> ,1.33,<0> ,1.36,<3> ,"",<-1> ,"","",8.4,<0> ,8,<0> ,14.4,<0> ,
"lksbawq   ","P",07/28/2021 20:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.3,<0> ,8.7,<0> ,1.30,<0> ,1.32,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,16.1,<0> ,
"lksbawq   ","P",07/28/2021 20:30,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,101.1,<0> ,8.6,<0> ,1.41,<0> ,1.43,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,17.2,<0> ,
"lksbawq   ","P",07/28/2021 20:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,102.1,<0> ,8.7,<0> ,1.38,<0> ,1.40,<3> ,"",<-1> ,"","",8.3,<0> ,9,<0> ,21.8,<0> ,
"lksbawq   ","P",07/28/2021 21:00,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,101.5,<0> ,8.6,<0> ,1.42,<0> ,1.44,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,11.6,<0> ,
"lksbawq   ","P",07/28/2021 21:15,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,101.4,<0> ,8.6,<0> ,1.40,<0> ,1.42,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,10.8,<0> ,
"lksbawq   ","P",07/28/2021 21:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,100.2,<0> ,8.5,<0> ,1.36,<0> ,1.37,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,14.4,<0> ,
"lksbawq   ","P",07/28/2021 21:45,0,1,"",23.4,<0> ,0.19,<0> ,0.1,<0> ,98.6,<0> ,8.4,<0> ,1.41,<0> ,1.42,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,14.4,<0> ,
"lksbawq   ","P",07/28/2021 22:00,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,96.1,<0> ,8.2,<0> ,1.35,<0> ,1.36,<3> ,"",<-1> ,"","",8.2,<0> ,7,<0> ,41.7,<0> ,
"lksbawq   ","P",07/28/2021 22:15,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,96.0,<0> ,8.2,<0> ,1.36,<0> ,1.37,<3> ,"",<-1> ,"","",8.2,<0> ,6,<0> ,12.9,<0> ,
"lksbawq   ","P",07/28/2021 22:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,99.7,<0> ,8.5,<0> ,1.35,<0> ,1.36,<3> ,"",<-1> ,"","",8.3,<0> ,10,<0> ,16.9,<0> ,
"lksbawq   ","P",07/28/2021 22:45,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,99.4,<0> ,8.5,<0> ,1.38,<0> ,1.39,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,11.7,<0> ,
"lksbawq   ","P",07/28/2021 23:00,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,98.7,<0> ,8.4,<0> ,1.38,<0> ,1.39,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,14.4,<0> ,
"lksbawq   ","P",07/28/2021 23:15,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,98.2,<0> ,8.4,<0> ,1.37,<0> ,1.38,<3> ,"",<-1> ,"","",8.2,<0> ,9,<0> ,13.8,<0> ,
"lksbawq   ","P",07/28/2021 23:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,95.8,<0> ,8.2,<0> ,1.23,<0> ,1.24,<3> ,"",<-1> ,"","",8.2,<0> ,7,<0> ,11.8,<0> ,
"lksbawq   ","P",07/28/2021 23:45,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,94.8,<0> ,8.1,<0> ,1.25,<0> ,1.26,<3> ,"",<-1> ,"","",8.2,<0> ,8,<0> ,14.0,<0> ,
"lksbawq   ","P",07/29/2021 0:00,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,88.1,<0> ,7.5,<0> ,1.23,<0> ,1.24,<3> ,"",<-1> ,"","",8.2,<0> ,6,<0> ,15.6,<0> ,
"lksbawq   ","P",07/29/2021 0:15,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,94.9,<0> ,8.1,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.2,<0> ,7,<0> ,15.8,<0> ,
"lksbawq   ","P",07/29/2021 0:30,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,95.4,<0> ,8.2,<0> ,1.31,<0> ,1.31,<3> ,"",<-1> ,"","",8.2,<0> ,6,<0> ,10.0,<0> ,
"lksbawq   ","P",07/29/2021 0:45,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,95.0,<0> ,8.1,<0> ,1.32,<0> ,1.32,<3> ,"",<-1> ,"","",8.2,<0> ,8,<0> ,19.8,<0> ,
"lksbawq   ","P",07/29/2021 1:00,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,93.9,<0> ,8.0,<0> ,1.33,<0> ,1.33,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,14.9,<0> ,
"lksbawq   ","P",07/29/2021 1:15,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,93.9,<0> ,8.0,<0> ,1.40,<0> ,1.40,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,11.2,<0> ,
"lksbawq   ","P",07/29/2021 1:30,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,94.1,<0> ,8.0,<0> ,1.35,<0> ,1.35,<3> ,"",<-1> ,"","",8.1,<0> ,8,<0> ,13.5,<0> ,
"lksbawq   ","P",07/29/2021 1:45,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,94.0,<0> ,8.0,<0> ,1.38,<0> ,1.38,<3> ,"",<-1> ,"","",8.2,<0> ,8,<0> ,30.7,<0> ,
"lksbawq   ","P",07/29/2021 2:00,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,89.6,<0> ,7.7,<0> ,1.34,<0> ,1.34,<3> ,"",<-1> ,"","",8.1,<0> ,10,<0> ,14.7,<0> ,
"lksbawq   ","P",07/29/2021 2:15,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,92.6,<0> ,7.9,<0> ,1.35,<0> ,1.34,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,14.0,<0> ,
"lksbawq   ","P",07/29/2021 2:30,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,90.5,<0> ,7.8,<0> ,1.32,<0> ,1.31,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,20.9,<0> ,
"lksbawq   ","P",07/29/2021 2:45,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,91.8,<0> ,7.9,<0> ,1.27,<0> ,1.26,<3> ,"",<-1> ,"","",8.1,<0> ,9,<0> ,12.8,<0> ,
"lksbawq   ","P",07/29/2021 3:00,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,87.6,<0> ,7.5,<0> ,1.29,<0> ,1.28,<3> ,"",<-1> ,"","",7.9,<0> ,7,<0> ,14.5,<0> ,
"lksbawq   ","P",07/29/2021 3:15,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,90.9,<0> ,7.8,<0> ,1.28,<0> ,1.27,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,17.2,<0> ,
"lksbawq   ","P",07/29/2021 3:30,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,90.4,<0> ,7.8,<0> ,1.26,<0> ,1.24,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,14.7,<0> ,
"lksbawq   ","P",07/29/2021 3:45,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,88.2,<0> ,7.6,<0> ,1.28,<0> ,1.26,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,16.0,<0> ,
"lksbawq   ","P",07/29/2021 4:00,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,89.4,<0> ,7.7,<0> ,1.36,<0> ,1.34,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,12.9,<0> ,
"lksbawq   ","P",07/29/2021 4:15,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,87.9,<0> ,7.5,<0> ,1.41,<0> ,1.39,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,16.9,<0> ,
"lksbawq   ","P",07/29/2021 4:30,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,90.4,<0> ,7.8,<0> ,1.42,<0> ,1.39,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,11.7,<0> ,
"lksbawq   ","P",07/29/2021 4:45,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,89.1,<0> ,7.7,<0> ,1.40,<0> ,1.37,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,18.8,<0> ,
"lksbawq   ","P",07/29/2021 5:00,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,90.0,<0> ,7.7,<0> ,1.43,<0> ,1.40,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,28.1,<0> ,
"lksbawq   ","P",07/29/2021 5:15,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.3,<0> ,7.5,<0> ,1.41,<0> ,1.38,<3> ,"",<-1> ,"","",7.9,<0> ,6,<0> ,14.1,<0> ,
"lksbawq   ","P",07/29/2021 5:30,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,88.4,<0> ,7.6,<0> ,1.41,<0> ,1.38,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,32.3,<0> ,
"lksbawq   ","P",07/29/2021 5:45,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.3,<0> ,7.5,<0> ,1.42,<0> ,1.38,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,23.1,<0> ,
"lksbawq   ","P",07/29/2021 6:00,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.2,<0> ,7.4,<0> ,1.45,<0> ,1.41,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,23.1,<0> ,
"lksbawq   ","P",07/29/2021 6:15,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.4,<0> ,7.5,<0> ,1.42,<0> ,1.38,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,18.1,<0> ,
"lksbawq   ","P",07/29/2021 6:30,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.4,<0> ,7.5,<0> ,1.35,<0> ,1.31,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,16.2,<0> ,
"lksbawq   ","P",07/29/2021 6:45,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.1,<0> ,7.4,<0> ,1.34,<0> ,1.30,<3> ,"",<-1> ,"","",7.9,<0> ,8,<0> ,23.4,<0> ,
"lksbawq   ","P",07/29/2021 7:00,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,85.8,<0> ,7.4,<0> ,1.37,<0> ,1.33,<3> ,"",<-1> ,"","",7.9,<0> ,8,<0> ,15.7,<0> ,
"lksbawq   ","P",07/29/2021 7:15,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.6,<0> ,7.4,<0> ,1.37,<0> ,1.32,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,23.4,<0> ,
"lksbawq   ","P",07/29/2021 7:30,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.4,<0> ,7.4,<0> ,1.36,<0> ,1.31,<3> ,"",<-1> ,"","",7.9,<0> ,10,<0> ,20.4,<0> ,
"lksbawq   ","P",07/29/2021 7:45,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.9,<0> ,7.5,<0> ,1.35,<0> ,1.30,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,14.8,<0> ,
"lksbawq   ","P",07/29/2021 8:00,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.5,<0> ,7.4,<0> ,1.43,<0> ,1.38,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,16.2,<0> ,
"lksbawq   ","P",07/29/2021 8:15,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,86.1,<0> ,7.4,<0> ,1.47,<0> ,1.42,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,17.6,<0> ,
"lksbawq   ","P",07/29/2021 8:30,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.0,<0> ,7.5,<0> ,1.47,<0> ,1.42,<3> ,"",<-1> ,"","",7.9,<0> ,7,<0> ,18.1,<0> ,
"lksbawq   ","P",07/29/2021 8:45,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,87.6,<0> ,7.5,<0> ,1.44,<0> ,1.39,<3> ,"",<-1> ,"","",7.9,<0> ,7,<0> ,20.0,<0> ,
"lksbawq   ","P",07/29/2021 9:00,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,88.0,<0> ,7.6,<0> ,1.35,<0> ,1.30,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,10.8,<0> ,
"lksbawq   ","P",07/29/2021 9:15,0,1,"",22.9,<0> ,0.19,<0> ,0.1,<0> ,82.1,<0> ,7.1,<0> ,1.31,<0> ,1.26,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,9.8,<0> ,
"lksbawq   ","P",07/29/2021 9:30,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,87.0,<0> ,7.5,<0> ,1.34,<0> ,1.28,<3> ,"",<-1> ,"","",7.9,<0> ,8,<0> ,14.1,<0> ,
"lksbawq   ","P",07/29/2021 9:45,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,89.9,<0> ,7.7,<0> ,1.35,<0> ,1.29,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,22.3,<0> ,
"lksbawq   ","P",07/29/2021 10:00,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,90.3,<0> ,7.7,<0> ,1.38,<0> ,1.32,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,15.9,<0> ,
"lksbawq   ","P",07/29/2021 10:15,0,1,"",23.0,<0> ,0.19,<0> ,0.1,<0> ,88.6,<0> ,7.6,<0> ,1.37,<0> ,1.31,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,15.6,<0> ,
"lksbawq   ","P",07/29/2021 10:30,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,91.9,<0> ,7.9,<0> ,1.34,<0> ,1.28,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,16.3,<0> ,
"lksbawq   ","P",07/29/2021 10:45,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,92.1,<0> ,7.9,<0> ,1.39,<0> ,1.33,<3> ,"",<-1> ,"","",8.1,<0> ,9,<0> ,17.2,<0> ,
"lksbawq   ","P",07/29/2021 11:00,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,95.3,<0> ,8.1,<0> ,1.38,<0> ,1.32,<3> ,"",<-1> ,"","",8.1,<0> ,9,<0> ,19.6,<0> ,
"lksbawq   ","P",07/29/2021 11:15,0,1,"",23.1,<0> ,0.19,<0> ,0.1,<0> ,93.0,<0> ,8.0,<0> ,1.40,<0> ,1.34,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,17.7,<0> ,
"lksbawq   ","P",07/29/2021 11:30,0,1,"",23.3,<0> ,0.19,<0> ,0.1,<0> ,96.9,<0> ,8.3,<0> ,1.40,<0> ,1.34,<3> ,"",<-1> ,"","",8.2,<0> ,8,<0> ,22.5,<0> ,
"lksbawq   ","P",07/29/2021 11:45,0,1,"",23.2,<0> ,0.19,<0> ,0.1,<0> ,94.8,<0> ,8.1,<0> ,1.43,<0> ,1.37,<3> ,"",<-1> ,"","",8.1,<0> ,7,<0> ,20.4,<0> ,
